loc,type,provider,estimate,RIN
76,T1,4.0,5.0,
90,B2,13.0,5.0,
1,T2,4.0,5.0,
3,T1,4.0,5.0,
3,T1,1.0,5.0,
6,T1,4.0,5.0,
7,T1,1.0,5.0,
9,T1,4.0,5.0,
10,T2,2.0,5.0,
13,T5,7.0,5.0,
16,T1,4.0,5.0,
16,T2,4.0,5.0,
1,T1,7.0,5.0,
1,T2,4.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,4.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T5,4.0,5.0,
3,T2,,5.0,
6,T1,7.0,5.0,
6,T2,7.0,5.0,
7,T1,4.0,5.0,
7,T2,4.0,5.0,
10,T2,1.0,5.0,
11,T1,4.0,5.0,
11,T2,4.0,5.0,
11,T1,,5.0,
13,T1,7.0,5.0,
13,T2,7.0,5.0,
13,T5,7.0,5.0,
13,T5,7.0,5.0,
13,T5,,5.0,
16,T1,4.0,5.0,
23,T1,,5.0,
23,T2,,5.0,
26,T1,1.0,5.0,
26,T2,1.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
1,T2,7.0,5.0,
4,T1,4.0,5.0,
4,T2,4.0,5.0,
4,T1,7.0,5.0,
4,T2,7.0,5.0,
5,B2,4.0,5.0,
5,T3,4.0,5.0,
6,T2,4.0,5.0,
8,T1,4.0,5.0,
8,T1,4.0,5.0,
8,T2,4.0,5.0,
8,T1,7.0,5.0,
8,T2,7.0,5.0,
8,T3,4.0,5.0,
18,T2,7.0,5.0,
21,T2,4.0,5.0,
21,T1,7.0,5.0,
21,T2,7.0,5.0,
25,T2,4.0,5.0,
62,T1,4.0,5.0,
62,T2,4.0,5.0,
4,A,15.0,5.0,
5,A,15.0,5.0,
9,A,15.0,5.0,
12,A,15.0,4.0,
16,A,15.0,5.0,
21,A,15.0,5.0,
27,A,15.0,5.0,
28,A,15.0,4.0,
32,A,15.0,4.0,
53,A,15.0,5.0,
54,A,15.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T2,7.0,5.0,
2,T1,1.0,5.0,
2,T2,1.0,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
3,T1,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
4,T3,4.0,5.0,
4,S1,4.0,5.0,
6,T1,4.0,5.0,
99,T1,1.0,5.0,
25,T1,4.0,5.0,
25,T2,4.0,5.0,
26,T1,4.0,5.0,
26,T2,4.0,5.0,
1,T2,7.0,5.0,
4,T1,,5.0,
5,A,15.0,5.0,
5,A,14.0,5.0,
7,A,15.0,5.0,
9,A,15.0,5.0,
9,A,14.0,5.0,
11,A,15.0,5.0,
12,A,14.0,5.0,
16,T1,4.0,5.0,
21,A,15.0,5.0,
21,A,14.0,5.0,
27,A,15.0,5.0,
48,A,14.0,5.0,
53,A,15.0,5.0,
68,A,14.0,5.0,
95,A,15.0,5.0,
99,B1,,5.0,
1,T2,2.0,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
3,T1,4.0,5.0,
4,A,15.0,5.0,
4,T2,4.0,5.0,
7,T1,4.0,5.0,
7,T2,4.0,5.0,
9,T1,4.0,5.0,
9,T2,4.0,5.0,
12,A,15.0,4.0,
16,T2,4.0,5.0,
27,A,15.0,4.0,
48,A,15.0,4.0,
68,B2,9.0,5.0,
99,B2,2.0,5.0,
1,T2,1.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
1,T1,2.0,5.0,
2,T1,2.0,5.0,
2,T2,2.0,5.0,
2,T3,4.0,5.0,
2,T1,2.0,5.0,
2,T2,2.0,5.0,
2,T1,2.0,5.0,
2,T2,2.0,5.0,
2,T5,2.0,5.0,
3,B2,4.0,5.0,
3,T1,4.0,5.0,
3,T3,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
3,T1,4.0,5.0,
3,T2,4.0,5.0,
3,T3,4.0,5.0,
6,T1,4.0,5.0,
7,T2,2.0,5.0,
10,T1,2.0,5.0,
10,T2,2.0,5.0,
10,A,15.0,5.0,
11,T1,4.0,5.0,
11,T2,4.0,5.0,
11,T5,4.0,5.0,
11,T1,4.0,5.0,
11,T2,4.0,5.0,
13,T1,4.0,5.0,
13,T5,4.0,5.0,
13,T1,4.0,5.0,
13,T3,4.0,5.0,
13,T1,4.0,5.0,
13,T5,4.0,5.0,
16,T1,4.0,5.0,
16,A,14.0,5.0,
18,A,15.0,5.0,
21,A,15.0,5.0,
26,B1,1.0,5.0,
26,B2,1.0,5.0,
26,T1,4.0,5.0,
54,A,15.0,4.0,
65,T5,2.0,5.0,
99,T1,,5.0,
1,T3,4.0,5.0,
1,T1,4.0,5.0,
1,T2,4.0,5.0,
2,T2,4.0,5.0,
2,T2,,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
2,T2,4.0,5.0,
2,T5,4.0,5.0,
2,T2,,5.0,
3,T5,4.0,5.0,
3,T1,2.0,5.0,
3,T2,2.0,5.0,
3,T2,4.0,5.0,
3,T1,4.0,5.0,
4,T3,4.0,5.0,
4,T1,4.0,5.0,
4,C1,4.0,5.0,
4,C2,4.0,5.0,
6,T1,4.0,5.0,
7,T2,4.0,5.0,
8,T1,2.0,5.0,
8,T2,2.0,5.0,
8,T1,2.0,5.0,
8,T2,2.0,5.0,
8,T2,,5.0,
13,T1,4.0,5.0,
13,T5,4.0,5.0,
13,T1,7.0,5.0,
13,T2,7.0,5.0,
13,T1,7.0,5.0,
13,T2,7.0,5.0,
13,T5,7.0,5.0,
13,T5,7.0,5.0,
13,T1,4.0,5.0,
13,T5,4.0,5.0,
21,T1,4.0,5.0,
21,T2,4.0,5.0,
21,T1,4.0,5.0,
21,T2,4.0,5.0,
23,T2,,5.0,
23,T1,4.0,5.0,
23,T2,4.0,5.0,
26,T2,2.0,5.0,
55,S2,7.0,5.0,
62,T1,4.0,5.0,
90,B2,13.0,5.0,
90,B2,13.0,5.0,
99,B1,2.0,5.0,
99,B2,2.0,5.0,
2,T4,4.0,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
2,T1,4.0,5.0,
2,T2,4.0,5.0,
